Năm,Dân số (Triệu người),Mật độ dân số (người/km2),Tốc độ tăng dân số (%),Tỷ lệ dân thành thị (%),Số lượng lao động (Triệu người),Tỷ giá cuối kỳ (VND/USD),Tổng FDI giải ngân (Triệu USD),Tong FDI đăng ký (Triệu USD),Giá trị xuất khẩu (USD giá hiện hành) (Triệu USD),Giá trị nhập khẩu (USD giá hiện hành) (Triệu USD),CPI tháng 1 (%),CPI tháng 2 (%),CPI tháng 3 (%),CPI tháng 4 (%),CPI tháng 5 (%),CPI tháng 6 (%),CPI tháng 7 (%),CPI tháng 8 (%),CPI tháng 9 (%),CPI tháng 10 (%),CPI tháng 11 (%),CPI tháng 12 (%),Bình quân CPI tháng (%),CPI tháng 12 năm báo cáo so với tháng 12 năm trước (%),GDP bình quân (Nghìn VND),GDP bình quân (USD),Tổng GDP (%),Nông nghiệp (%),Công nghiệp (%),Dịch vụ (%),GDP theo giá hiện hành (Tỷ VND)
2009.0,86.02,258.64,1.06,29.6,47.7,17.941,10000.0,21482.0,57096.3,69948.8,0.32,1.17,-0.17,0.35,0.44,0.55,0.52,0.24,0.62,0.37,0.55,1.38,0.53,6.52,20931.0,1132.0,5.32,20.91,40.24,38.85,1658389.0
2010.0,86.93,262.07,1.05,29.9,49.0,18.932,11000.0,19764.0,72191.87,84838.6,1.36,1.96,0.75,0.14,0.27,0.22,0.06,0.23,1.31,1.05,1.86,1.98,0.93,11.75,24722.0,1234.0,6.78,20.58,41.09,38.33,1980914.0
2011.0,87.84,264.82,1.04,30.6,50.4,20.828,11000.0,14696.0,96905.7,106749.8,1.74,2.09,2.17,3.32,2.21,1.09,1.17,0.93,0.82,0.36,0.39,0.53,1.4,18.13,31547.0,1443.0,5.89,22.01,40.23,37.76,2536631.0
2012.0,88.78,267.65,1.06,32.45,51.4,20.828,10460.0,13010.0,114529.2,111640.27,1.0,1.37,0.16,0.05,0.18,-0.26,-0.29,0.63,2.2,0.85,0.47,0.27,0.55,6.81,36459.0,1655.0,5.03,19.67,38.63,41.7,3245419.0
2013.0,89.71,270.46,1.05,32.36,52.2,21.036,11510.0,21628.0,132175.0,132032.6,1.25,1.32,-0.19,0.02,-0.06,0.05,0.27,0.83,1.06,0.49,0.34,0.51,0.49,6.04,39854.0,1811.0,5.42,18.38,38.31,43.31,3584262.0
2014.0,90.73,273.53,1.08,33.1,54.48,21.246,12350.0,20230.93,150042.0,148058.0,0.69,0.55,-0.41,0.08,0.2,1.38,0.23,0.22,0.4,0.11,-0.27,-0.24,0.25,1.84,43302.0,1952.0,5.98,17.7,33.21,39.04,3937856.0
2015.0,91.7,270.64,1.07,34.3,54.61,21.89,14500.0,22757.0,162439.0,165609.0,-0.2,-0.05,0.15,0.14,0.16,0.35,0.13,-0.07,-0.21,0.11,0.07,0.02,0.63,0.6,45600.0,2009.0,6.68,17.0,33.25,39.73,4192862.0
2016.0,92.7,280.0,1.1,34.6,53.29,22.159,15800.0,24400.0,175942.0,173262.0,0.0,0.42,0.57,0.33,0.54,0.46,0.13,0.1,0.54,0.83,0.48,0.23,2.66,4.74,48500.0,2115.0,6.21,16.32,32.72,40.92,4502733.0
2017.0,93.68,283.0,1.06,35.0,53.72,22.425,17500.0,35884.0,213770.0,211096.0,0.46,0.23,0.21,0.0,-0.53,-0.17,0.11,0.92,0.59,0.41,0.13,0.21,3.53,2.6,53300.0,2289.0,6.81,15.34,33.34,41.32,5005975.0
2018.0,94.67,286.0,1.06,35.7,55.39,22.825,19100.0,35460.0,244723.0,237512.0,0.51,0.73,-0.27,0.08,0.55,0.61,-0.09,0.45,0.59,0.33,-0.29,-0.25,3.54,2.98,58400.0,2490.0,7.08,14.57,34.28,41.17,5542332.0
2019.0,96.5,291.0,1.15,35.0,55.8,23.155,20380.0,38951.7,264189.4,253355.8,0.1,0.8,-0.21,0.31,0.49,-0.09,0.18,0.28,0.32,0.59,0.96,1.4,2.79,5.23,62500.0,2615.0,7.02,13.96,34.49,41.64,6037348.0
2020.0,97.58,295.0,1.14,36.82,54.84,23.131,19980.0,31045.3,282628.9,262690.7,1.23,-0.17,-0.72,-1.54,-0.03,0.66,0.4,0.07,0.12,0.09,-0.01,0.1,0.02,0.19,64390.0,2679.0,2.91,14.85,33.72,41.63,6293145.0
2021.0,98.51,298.0,0.95,37.1,50.5,23.145,19740.0,38854.3,336166.8,332842.6,0.06,1.52,-0.27,-0.04,0.16,0.19,0.62,0.25,-0.62,-0.2,0.32,-0.18,0.15,1.81,86000.0,3617.0,2.56,12.56,37.47,41.21,8479667.0
2022.0,99.47,300.0,0.98,37.6,51.7,23.612,22396.0,29288.2,371304.2,358901.9,0.19,1.0,0.7,0.18,0.38,0.69,0.4,0.0,0.4,0.15,0.39,-0.01,0.37,4.55,95900.0,4024.0,8.12,11.96,38.17,41.32,9548738.0
2023.0,100.31,303.0,0.85,38.1,52.4,23.866,23183.0,39390.3,354721.0,326357.9,0.52,0.45,-0.23,-0.34,0.01,0.27,0.45,0.88,1.08,0.08,0.25,0.12,0.29,3.58,101800.0,4182.0,5.05,11.96,37.12,42.54,10221815.0
