Chỉ_tiêu,Đơn_vị_tính,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Tỷ_giá_cuối_kỳ,VNĐ/USD,"8,125","11,500","10,565","10,843","11,051","11,015","11,149","12,292","13,890","14,028","14,514","15,084","15,403","15,646","15,777","15,916","16,054","16,114","16,977","17,941","18,932","20,828","20,828","21,036","21,246","21,890","22,159","22,425","22,825","23,155","23,131","23,145","23,612","23,866"
Tỷ_giá_trung_bình,VNĐ/USD,"6,483","10,037","11,202","10,641","10,966","11,038","11,033","11,683","13,268","13,943","14,168","14,725","15,280","15,510","15,746","15,859","15,994","16,105","16,302","17,065","18,613","20,510","20,828","20,935","21,151","21,683","21,932","22,373","22,606","23,045","23,208","23,178",-,-
