Date,Close,Open,High,Low,Volume,Change%
2024-11-08,1317.34,1331.32,1331.51,1312.83,194300000,-0.7
2024-11-07,1326.65,1335.07,1336.29,1325.87,139490000,-0.22
2024-11-06,1329.56,1314.11,1331.53,1314.11,171800000,1.23
2024-11-05,1313.35,1312.43,1317.6,1311.85,119970000,0.05
2024-11-04,1312.64,1325.94,1326.99,1311.03,232210000,-0.98
2024-11-01,1325.62,1333.76,1336.08,1324.42,210850000,-0.97
2024-10-31,1338.6,1334.1,1341.01,1328.19,198150000,0.36
2024-10-30,1333.85,1337.16,1338.47,1327.14,187750000,-0.14
2024-10-29,1335.76,1328.92,1335.76,1328.92,170360000,0.56
2024-10-28,1328.33,1324.7,1328.57,1322.97,144590000,0.21
2024-10-25,1325.54,1333.77,1334.78,1322.69,209960000,-0.31
2024-10-24,1329.62,1349.22,1351.59,1329.62,257100000,-1.49
2024-10-23,1349.72,1348.93,1351.72,1340.13,225440000,0.06
2024-10-22,1348.92,1357.42,1359.4,1344.1,292650000,-0.67
2024-10-21,1358.03,1361.28,1366.36,1358.03,193890000,-0.34
2024-10-18,1362.69,1368.11,1372.66,1360.64,272770000,-0.01
2024-10-17,1362.89,1357.31,1362.89,1346.14,225850000,0.65
2024-10-16,1354.1,1355.01,1358.07,1350.45,174900000,-0.15
2024-10-15,1356.09,1360.5,1367.55,1353.1,254820000,-0.2
2024-10-14,1358.76,1362.84,1373.66,1357.65,229590000,-0.27
2024-10-11,1362.5,1361.88,1364.59,1355.07,194260000,0.14
2024-10-10,1360.58,1355.69,1370.15,1355.69,295000000,0.64
2024-10-09,1351.97,1340.56,1352.52,1338.93,304790000,0.96
2024-10-08,1339.05,1337.9,1344.38,1331.61,253320000,0.27
2024-10-07,1335.48,1342.85,1345.76,1328.45,189750000,-0.05
2024-10-04,1336.21,1347.32,1348.23,1336.21,238260000,-0.76
2024-10-03,1346.46,1355.78,1371.67,1345.28,411190000,-0.59
2024-10-02,1354.51,1354.67,1361.46,1350.92,259870000,-0.32
2024-10-01,1358.88,1355.22,1370.14,1355.22,353700000,0.47
2024-09-30,1352.56,1351.21,1354.91,1346.18,268200000,0.0
2024-09-27,1352.57,1355.13,1361.2,1346.91,400980000,0.13
2024-09-26,1350.85,1346.43,1359.71,1344.01,414070000,0.5
2024-09-25,1344.07,1337.8,1344.07,1334.06,359510000,0.99
2024-09-24,1330.87,1320.58,1330.87,1318.29,210390000,0.74
2024-09-23,1321.12,1329.93,1333.73,1320.95,183240000,-0.37
2024-09-20,1326.0,1325.02,1336.79,1324.9,394460000,0.58
2024-09-19,1318.41,1315.17,1319.41,1312.28,171750000,0.57
2024-09-18,1310.94,1304.91,1317.7,1302.07,233290000,0.56
2024-09-17,1303.65,1282.84,1303.65,1281.16,141550000,1.74
2024-09-16,1281.37,1292.54,1298.79,1281.37,-1,-1.0
2024-09-13,1294.3,1297.84,1298.56,1291.82,118480000,-0.26
2024-09-12,1297.61,1298.83,1301.83,1296.16,146390000,0.29
2024-09-11,1293.88,1292.14,1298.37,1285.66,146840000,-0.01
2024-09-10,1294.06,1309.56,1312.49,1291.16,208130000,-1.0
2024-09-09,1307.15,1310.11,1310.64,1303.04,160910000,-0.63
2024-09-06,1315.39,1309.72,1315.63,1304.78,184680000,0.48
2024-09-05,1309.05,1318.31,1322.56,1306.76,213310000,-0.66
2024-09-04,1317.71,1319.88,1321.32,1311.4,205800000,-1.04
2024-08-30,1331.52,1328.5,1333.56,1327.61,155150000,0.37
2024-08-29,1326.67,1322.93,1332.27,1322.93,217250000,0.24
2024-08-28,1323.54,1325.77,1327.64,1320.18,190820000,0.1
2024-08-27,1322.28,1317.85,1324.57,1315.97,202040000,0.28
2024-08-26,1318.6,1323.26,1326.85,1316.17,235660000,-0.19
2024-08-23,1321.15,1320.41,1323.9,1311.1,182560000,0.2
2024-08-22,1318.57,1320.79,1322.67,1315.42,212880000,0.07
2024-08-21,1317.69,1302.26,1318.19,1300.28,279240000,0.95
2024-08-20,1305.25,1300.32,1309.41,1299.86,221760000,0.48
2024-08-19,1299.04,1296.6,1301.88,1294.21,183430000,0.57
2024-08-16,1291.68,1266.95,1291.89,1266.95,282860000,2.08
2024-08-15,1265.32,1270.0,1272.25,1263.44,145090000,-0.4
2024-08-14,1270.38,1272.86,1275.26,1268.69,145770000,0.13
2024-08-13,1268.72,1269.09,1272.21,1262.91,165200000,-0.21
2024-08-12,1271.44,1267.05,1273.16,1259.6,164090000,0.52
2024-08-09,1264.84,1250.37,1265.94,1248.85,178360000,1.73
2024-08-08,1243.31,1247.89,1256.36,1238.41,223190000,-0.82
2024-08-07,1253.58,1259.22,1259.39,1245.46,220050000,0.06
2024-08-06,1252.81,1243.81,1256.23,1232.19,221660,1.68
2024-08-05,1232.11,1262.68,1264.87,1226.37,363090,-3.82
2024-08-02,1281.01,1269.67,1281.01,1253.68,249740,0.71
2024-08-01,1272.0,1303.05,1303.86,1266.73,291770,-2.09
2024-07-31,1299.09,1289.45,1300.74,1288.83,244190,0.88
2024-07-30,1287.82,1285.65,1289.78,1279.24,166020,0.16
2024-07-29,1285.73,1287.85,1292.33,1285.04,135960,0.3
2024-07-26,1281.84,1273.66,1281.84,1272.59,141730,0.76
2024-07-25,1272.18,1271.75,1275.49,1265.88,170880,-0.65
2024-07-24,1280.51,1274.42,1284.18,1262.77,240000,0.14
2024-07-23,1278.67,1301.57,1304.81,1277.39,257320,-1.59
2024-07-22,1299.31,1299.69,1305.96,1288.59,270890,-0.23
2024-07-19,1302.32,1307.75,1314.15,1296.61,302640,-0.31
2024-07-18,1306.38,1305.25,1308.67,1290.05,236830,0.08
2024-07-17,1305.37,1308.6,1324.55,1291.5,462490,0.16
2024-07-16,1303.3,1298.14,1309.75,1298.14,202880,0.42
2024-07-15,1297.82,1301.83,1307.3,1294.03,149300,-0.31
2024-07-12,1301.81,1304.75,1312.24,1298.45,161590,-0.34
2024-07-11,1306.22,1315.08,1318.15,1306.22,197180,-0.36
2024-07-10,1310.91,1322.24,1324.91,1310.91,211490,-0.82
2024-07-09,1321.78,1315.35,1322.21,1309.15,255980,0.45
2024-07-08,1315.83,1317.01,1319.27,1309.55,207420,-0.03
2024-07-05,1316.18,1310.82,1316.7,1307.98,178740,0.42
2024-07-04,1310.63,1309.16,1313.01,1304.31,170860,0.39
2024-07-03,1305.5,1296.08,1309.4,1296.08,200600,0.73
